ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~4291;4291;F5;07;04;07/04;05/03/2021 00:00;13;64;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;8836,11;8836,11;-8836,11;0.00;-8836.11;EUR
.1~4299;4299;F5;07;05;07/05;06/03/2021 00:00;13;65;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;13345,57;13345,57;-13345,57;0.00;-13345.57;EUR
.1~4301;4301;F5;07;05;07/05;06/03/2021 00:00;13;65;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;15;15;-15;0.00;-15.00;EUR
.1~4302;4302;F5;07;05;07/05;06/03/2021 00:00;13;65;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;13345,57;-13345,57;13345,57;-13345.57;0.00;EUR
.1~4303;4303;F5;07;05;07/05;06/03/2021 00:00;13;65;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;14985,4;-14985,4;14985,4;0.00;14985.40;EUR
.1~4308;4308;F5;07;06;07/06;07/03/2021 00:00;14;66;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;13116,96;13116,96;-13116,96;0.00;-13116.96;EUR
.1~4316;4316;F5;07;07;07/07;08/03/2021 00:00;14;67;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;8769,1;8769,1;-8769,1;0.00;-8769.10;EUR
.1~4320;4320;F5;07;08;07/08;09/03/2021 00:00;14;68;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;665,6;-665,6;665,6;-665.60;0.00;EUR
.1~4325;4325;F5;07;08;07/08;09/03/2021 00:00;14;68;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;119899,4;-119899,4;119899,4;-119899.40;0.00;EUR
.1~4326;4326;F5;07;08;07/08;09/03/2021 00:00;14;68;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;119899,4;119899,4;-119899,4;119899.40;0.00;EUR
.1~4329;4329;F5;07;08;07/08;09/03/2021 00:00;14;68;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;9582,85;9582,85;-9582,85;0.00;-9582.85;EUR
.1~4333;4333;F5;07;08;07/08;09/03/2021 00:00;14;68;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;11601,3;-11601,3;11601,3;0.00;11601.30;EUR
.1~4338;4338;F5;07;09;07/09;10/03/2021 00:00;14;69;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;6777,78;6777,78;-6777,78;0.00;-6777.78;EUR
.1~4345;4345;F5;07;10;07/10;11/03/2021 00:00;14;70;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;15254;-15254;15254;-15254.00;0.00;EUR
.1~4346;4346;F5;07;10;07/10;11/03/2021 00:00;14;70;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;47193,6;47193,6;-47193,6;47193.60;0.00;EUR
.1~4353;4353;F5;08;01;08/01;12/03/2021 00:00;15;71;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;10322,9;10322,9;-10322,9;10322.90;0.00;EUR
