ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;EVENT_TYPE;DOCUMENT_TYPE;MOVEMENT_TYPE;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;DEBIT_CREDIT_INDICATOR;UNIT;QUANTITY_ABS;QUANTITY
.1~187;187;B9;01;02;01/02;02/01/2021 00:00;1;2;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;44;-44
.1~239;239;B9;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;BB-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;19;-19
.1~33;33;A9;01;02;01/02;02/01/2021 00:00;1;2;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;24;-24
.1~449;449;D9;01;03;01/03;03/01/2021 00:00;1;3;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;110;-110
.1~191;191;B9;01;03;01/03;03/01/2021 00:00;1;3;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;123;-123
.1~182;182;B9;01;02;01/02;02/01/2021 00:00;1;2;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;65;-65
.1~124;124;A9;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;78;-78
.1~69;69;A9;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;29;-29
.1~566;566;E9;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;EE-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;4;-4
.1~514;514;E9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;EE-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;64;-64
.1~513;513;E9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;EE-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;30;-30
.1~335;335;C9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;CC-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;62;-62
.1~216;216;B9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;57;-57
.1~225;225;B9;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;BB-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;17;-17
.1~213;213;B9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;16;-16
