ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;UNIT;QUANTITY
.1~113;113;B9;01;09;01/09;09/01/2021 00:00;2;9;03W;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;191
.1~69;69;A9;01;10;01/10;10/01/2021 00:00;2;10;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;113
.1~68;68;A9;01;10;01/10;10/01/2021 00:00;2;10;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;114
.1~67;67;A9;01;10;01/10;10/01/2021 00:00;2;10;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;113
.1~27;27;A9;01;03;01/03;03/01/2021 00:00;1;3;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;113
.1~49;49;A9;01;08;01/08;08/01/2021 00:00;2;8;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;120
.1~50;50;A9;01;08;01/08;08/01/2021 00:00;2;8;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;120
.1~51;51;A9;01;08;01/08;08/01/2021 00:00;2;8;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;120
.1~154;154;C9;01;03;01/03;03/01/2021 00:00;1;3;03S;CC-T05;Butter;Trading Goods;T05;;Butter;ST;13
.1~153;153;C9;01;03;01/03;03/01/2021 00:00;1;3;03N;CC-T05;Butter;Trading Goods;T05;;Butter;ST;14
.1~152;152;C9;01;03;01/03;03/01/2021 00:00;1;3;03W;CC-T05;Butter;Trading Goods;T05;;Butter;ST;13
.1~75;75;A9;01;10;01/10;10/01/2021 00:00;2;10;03S;AA-T05;Butter;Trading Goods;T05;;Butter;ST;63
.1~74;74;A9;01;10;01/10;10/01/2021 00:00;2;10;03N;AA-T05;Butter;Trading Goods;T05;;Butter;ST;64
.1~73;73;A9;01;10;01/10;10/01/2021 00:00;2;10;03W;AA-T05;Butter;Trading Goods;T05;;Butter;ST;63
.1~55;55;A9;01;08;01/08;08/01/2021 00:00;2;8;03W;AA-T05;Butter;Trading Goods;T05;;Butter;ST;70
.1~56;56;A9;01;08;01/08;08/01/2021 00:00;2;8;03N;AA-T05;Butter;Trading Goods;T05;;Butter;ST;70
.1~57;57;A9;01;08;01/08;08/01/2021 00:00;2;8;03S;AA-T05;Butter;Trading Goods;T05;;Butter;ST;70
.1~117;117;B9;01;09;01/09;09/01/2021 00:00;2;9;03N;BB-T05;Butter;Trading Goods;T05;;Butter;ST;27
.1~118;118;B9;01;09;01/09;09/01/2021 00:00;2;9;03S;BB-T05;Butter;Trading Goods;T05;;Butter;ST;137
.1~33;33;A9;01;03;01/03;03/01/2021 00:00;1;3;03N;AA-T05;Butter;Trading Goods;T05;;Butter;ST;64
.1~103;103;B9;01;04;01/04;04/01/2021 00:00;1;4;03N;BB-T05;Butter;Trading Goods;T05;;Butter;ST;24
.1~104;104;B9;01;04;01/04;04/01/2021 00:00;1;4;03S;BB-T05;Butter;Trading Goods;T05;;Butter;ST;45
.1~106;106;B9;01;07;01/07;07/01/2021 00:00;2;7;03N;BB-T05;Butter;Trading Goods;T05;;Butter;ST;1
.1~178;178;C9;01;10;01/10;10/01/2021 00:00;2;10;03S;CC-T05;Butter;Trading Goods;T05;;Butter;ST;118
.1~179;179;C9;01;10;01/10;10/01/2021 00:00;2;10;03N;CC-T05;Butter;Trading Goods;T05;;Butter;ST;119
.1~180;180;C9;01;10;01/10;10/01/2021 00:00;2;10;03W;CC-T05;Butter;Trading Goods;T05;;Butter;ST;118
.1~32;32;A9;01;03;01/03;03/01/2021 00:00;1;3;03S;AA-T05;Butter;Trading Goods;T05;;Butter;ST;63
.1~31;31;A9;01;03;01/03;03/01/2021 00:00;1;3;03W;AA-T05;Butter;Trading Goods;T05;;Butter;ST;63
.1~162;162;C9;01;08;01/08;08/01/2021 00:00;2;8;03N;CC-T05;Butter;Trading Goods;T05;;Butter;ST;34
